1 |BT| (ROOT (S (ADVP (RB (just)))(VP (VBD (get)))(NP (DT (a))(NN (shot))))(S (SBAR (RB (=[)))(NP (PRP (it)))(VP (VBD (hurt))))(S (NP (DT (the))(NN (lady)))(VP (VBD (say)))(NP (PRP$ (my))(NN (muscle)))(VP (VBD (start))(TO (to))(VB (spasm)))(NP (NN (haha))))) |ET|
1 |BT| (ROOT (S (NP (PRP (i)))(VP (VBP (have)))(NP (CD (three))(NN (library))(NN (cards.how))(JJ (many)))(VP (VBP (do)))(NP (PRP (you)))(VP (VB (have))))(S (NP (VB (that)))(NP (WP (what)))(NP (PRP (i)))(VP (VBD (think))))) |ET|
-1 |BT| (ROOT (S (NP (NNP (youth))(NNP (convention))))(S (VP (VB (get)))(NP (JJ (ready))(NN (wired)))(PP (IN (for)))(NP (DT (a))(VBN (bless))(NN (time)))(NP (NN (tonight))(CC (and))(NN (tomorrow))))(S (VP (VB (come)))(PP (TO (to)))(NP (NN (convention)))(VP (VBG (expect)))(NP (NNP (god)))(VP (TO (to))(VB (change)))(NP (PRP (you))))) |ET|
1 |BT| (ROOT (S (VP (VBG (scream)))(NP (DT (the))(NNS (lyric)))(PP (TO (to)))(NP (NNP (green))(NNP (day)))(VP (VBG (be)))(NP (DT (a))(NN (punk))(NN (rock))(VBP (emo))(JJ (rebel))(NN (demon))))(S (NP (NNP (:d))(NNP (life)))(VP (VBZ (be)))(ADJP (VBN (goooood))))) |ET|
1 |BT| (ROOT (S (VP (VBG (go)))(UCP (TO (to)))(VP (VB (see)))(NP (NN (potter))))) |ET|
1 |BT| (ROOT (S (NP (RB (dear))(VBD (ib)))(VP (VB (please))(VB (go)))(ADVP (RP (away))))(S (VP (VB (thank)))(NP (PRP (you)))(ADVP (RB (kindly))))) |ET|
-1 |BT| (ROOT (S (NP (PRP (you)))(VP (VBP (open)))(NP (CD (one))(NN (pack)))(PP (IN (of)))(NP (NN (gum)))(NP (RB (suddenly))(NN (everybody)))(VP (VBZ (become)))(NP (PRP$ (you))(NN (friend))))) |ET|
1 |BT| (ROOT (S (SBAR (IN (if)))(NP (WDT (that)))(VP (VBD (be)))(NP (DT (a))(NN (epic))(NN (leg))(NN (session)))(NP (PRP (i)))(VP (VBP (do))(RB (not))(VB (know)))(NP (WP (what)))(VP (VBZ (be))))) |ET|
-1 |BT| (ROOT (S (NP (NNS (thing)))(VP (VBP (be)))(NP (WP (what)))(NP (PRP (they)))(VP (VBD (use))(TO (to))(VB (be))(VBG (miss)))(NP (CD (one)))(PP (NN (inside)))(PP (IN (of)))(NP (PRP (i))))) |ET|
-1 |BT| (ROOT (S (VP (VB (gon))(TO (na))(VB (sit)))(PP (IN (at)))(NP (NN (home))(CC (and))(NN (semus))(VB (relax))))(S (ADVP (RB (possibly)))(VP (VB (go))(TO (to))(NN (gym))(CC (or)))(NP (NN (something)))(UCP (NN (idk))))) |ET|
1 |BT| (ROOT (S (NP (DT (a))(JJ (great))(NN (day)))(PP (IN (with)))(NP (PRP$ (my))(NN (son))(NN (thrift))(NN (store))(NN (shopping)))(NP (PRP (i)))(VP (VBD (find)))(NP (NNS (treasure))))) |ET|
1 |BT| (ROOT (S (ADVP (RB (just)))(NP (VBZ (forget)))(ADVP (RB (sometimes)))(VP (VBZ (need))(TO (to))(VB (show)))(NP (DT (a))(NN (bit))(JJR (more))(NN (appreciation))))) |ET|
1 |BT| (ROOT (S (NP (NN (emma))(NNS (rodger)))(VP (VBZ (have))(RB (just))(VBD (fall)))(PP (IN (of)))(NP (PRP$ (she))(NN (chair))(CC (and))(FW (i))(NNP (didnt))(NNP (miss))(NNP (it)))(NP (NNP (d))))) |ET|
1 |BT| (ROOT (S (NP (NNP (goals)))(VP (VBZ (give)))(NP (PRP (you)))(NP (DT (a))(NN (sense)))(VP (TO (to))(VB (perform)))(ADVP (RB (now))(RB (rather)))(PP (IN (than)))(NP (JJ (procrastinating!hehe)))(NP (JJ (cpy))(JJ (frm))(JJ (elaine))(NN (ng))))) |ET|
-1 |BT| (ROOT (S (VP (VBZ (want)))(PP (TO (to)))(NP (VB (know)))(SBAR (IN (if)))(NP (PRP (you)))(VP (MD (can))(VB (dl)))(NP (JJ (maths)))(PP (JJ (past)))(NP (NN (year))(NNS (papers)))(PP (IN (from)))(NP (NN (cmo))))(S (NP (NNP (cos))(DT (the))(SYM (f))(JJ (**))(NN (king))(NN (thing)))(VP (VBZ (be))(RB (not))(VBG (allow)))(NP (PRP (i)))(VP (TO (to))))) |ET|
1 |BT| (ROOT (S (NP (JJ (happy))(NNP (new))(NNS (year)))(PP (TO (to)))(NP (PDT (all))(PRP$ (my))(NNS (friend)))(PP (IN (on)))(NP (NNP (fb))))) |ET|
